state,Year,population,state_year
Johor,1970,5302.2,Johor_1970
Johor,1971,5421.6,Johor_1971
Johor,1972,5541.0,Johor_1972
Johor,1973,5657.9,Johor_1973
Johor,1974,5777.5,Johor_1974
Johor,1975,5908.4,Johor_1975
Johor,1976,6033.8,Johor_1976
Johor,1977,6167.5,Johor_1977
Johor,1978,6293.7,Johor_1978
Johor,1979,6425.4,Johor_1979
Johor,1980,13168.9,Johor_1980
Johor,1981,13514.8,Johor_1981
Johor,1982,13877.7,Johor_1982
Johor,1983,14241.7,Johor_1983
Johor,1984,14607.1,Johor_1984
Johor,1985,15004.1,Johor_1985
Johor,1986,15411.8,Johor_1986
Johor,1987,15823.2,Johor_1987
Johor,1988,16248.6,Johor_1988
Johor,1989,16683.1,Johor_1989
Johor,1990,17116.3,Johor_1990
Johor,1991,17504.8,Johor_1991
Johor,1992,17993.3,Johor_1992
Johor,1993,18506.7,Johor_1993
Johor,1994,19024.9,Johor_1994
Johor,1995,19530.6,Johor_1995
Johor,1996,20030.8,Johor_1996
Johor,1997,20540.1,Johor_1997
Johor,1998,21052.3,Johor_1998
Johor,1999,21595.2,Johor_1999
Johor,2000,22100.0,Johor_2000
Johor,2001,22639.4,Johor_2001
Johor,2002,23148.2,Johor_2002
Johor,2003,23632.2,Johor_2003
Johor,2004,24116.5,Johor_2004
Johor,2005,24594.8,Johor_2005
Johor,2006,25074.6,Johor_2006
Johor,2007,25547.3,Johor_2007
Johor,2008,26019.2,Johor_2008
Johor,2009,26475.2,Johor_2009
Johor,2010,26903.8,Johor_2010
Johor,2011,27284.2,Johor_2011
Johor,2012,27603.1,Johor_2012
Johor,2013,27796.3,Johor_2013
Johor,2014,28478.2,Johor_2014
Johor,2015,28882.4,Johor_2015
Johor,2016,29213.4,Johor_2016
Johor,2017,29578.1,Johor_2017
Johor,2018,29993.9,Johor_2018
Johor,2019,30090.8,Johor_2019
Johor,2020,32076.9,Johor_2020
Johor,2021,32160.0,Johor_2021
Johor,2022,32225.6,Johor_2022
Johor,2023,32858.5,Johor_2023
Johor,2024,33490.4,Johor_2024
Kedah,1970,3958.1,Kedah_1970
Kedah,1971,4016.0,Kedah_1971
Kedah,1972,4068.9,Kedah_1972
Kedah,1973,4116.3,Kedah_1973
Kedah,1974,4164.099999999999,Kedah_1974
Kedah,1975,4219.9,Kedah_1975
Kedah,1976,4261.7,Kedah_1976
Kedah,1977,4319.4,Kedah_1977
Kedah,1978,4363.7,Kedah_1978
Kedah,1979,4413.8,Kedah_1979
Kedah,1980,8959.3,Kedah_1980
Kedah,1981,9122.0,Kedah_1981
Kedah,1982,9294.8,Kedah_1982
Kedah,1983,9471.1,Kedah_1983
Kedah,1984,9649.3,Kedah_1984
Kedah,1985,9846.7,Kedah_1985
Kedah,1986,10049.7,Kedah_1986
Kedah,1987,10248.0,Kedah_1987
Kedah,1988,10442.9,Kedah_1988
Kedah,1989,10630.3,Kedah_1989
Kedah,1990,10818.9,Kedah_1990
Kedah,1991,10971.2,Kedah_1991
Kedah,1992,11216.9,Kedah_1992
Kedah,1993,11473.1,Kedah_1993
Kedah,1994,11733.0,Kedah_1994
Kedah,1995,12002.6,Kedah_1995
Kedah,1996,12265.6,Kedah_1996
Kedah,1997,12536.1,Kedah_1997
Kedah,1998,12810.1,Kedah_1998
Kedah,1999,13092.2,Kedah_1999
Kedah,2000,13375.2,Kedah_2000
Kedah,2001,13631.6,Kedah_2001
Kedah,2002,13878.6,Kedah_2002
Kedah,2003,14110.7,Kedah_2003
Kedah,2004,14339.5,Kedah_2004
Kedah,2005,14562.5,Kedah_2005
Kedah,2006,14780.2,Kedah_2006
Kedah,2007,14992.7,Kedah_2007
Kedah,2008,15200.5,Kedah_2008
Kedah,2009,15402.4,Kedah_2009
Kedah,2010,15594.1,Kedah_2010
Kedah,2011,15774.7,Kedah_2011
Kedah,2012,16008.6,Kedah_2012
Kedah,2013,16319.4,Kedah_2013
Kedah,2014,16500.5,Kedah_2014
Kedah,2015,16772.0,Kedah_2015
Kedah,2016,16955.399999999998,Kedah_2016
Kedah,2017,17150.600000000002,Kedah_2017
Kedah,2018,17302.9,Kedah_2018
Kedah,2019,17389.4,Kedah_2019
Kedah,2020,17051.3,Kedah_2020
Kedah,2021,17213.2,Kedah_2021
Kedah,2022,17304.9,Kedah_2022
Kedah,2023,17513.5,Kedah_2023
Kedah,2024,17739.6,Kedah_2024
Kelantan,1970,2829.0,Kelantan_1970
Kelantan,1971,2894.5,Kelantan_1971
Kelantan,1972,2964.1,Kelantan_1972
Kelantan,1973,3037.9,Kelantan_1973
Kelantan,1974,3107.1,Kelantan_1974
Kelantan,1975,3184.3,Kelantan_1975
Kelantan,1976,3256.2,Kelantan_1976
Kelantan,1977,3336.9,Kelantan_1977
Kelantan,1978,3410.1,Kelantan_1978
Kelantan,1979,3494.5,Kelantan_1979
Kelantan,1980,7165.8,Kelantan_1980
Kelantan,1981,7363.4,Kelantan_1981
Kelantan,1982,7576.2,Kelantan_1982
Kelantan,1983,7796.6,Kelantan_1983
Kelantan,1984,8020.7,Kelantan_1984
Kelantan,1985,8263.2,Kelantan_1985
Kelantan,1986,8501.7,Kelantan_1986
Kelantan,1987,8746.7,Kelantan_1987
Kelantan,1988,8991.5,Kelantan_1988
Kelantan,1989,9236.3,Kelantan_1989
Kelantan,1990,9497.1,Kelantan_1990
Kelantan,1991,9816.3,Kelantan_1991
Kelantan,1992,9947.7,Kelantan_1992
Kelantan,1993,10072.6,Kelantan_1993
Kelantan,1994,10188.8,Kelantan_1994
Kelantan,1995,10302.0,Kelantan_1995
Kelantan,1996,10408.0,Kelantan_1996
Kelantan,1997,10515.6,Kelantan_1997
Kelantan,1998,10630.800000000001,Kelantan_1998
Kelantan,1999,10757.6,Kelantan_1999
Kelantan,2000,10891.0,Kelantan_2000
Kelantan,2001,11119.0,Kelantan_2001
Kelantan,2002,11333.7,Kelantan_2002
Kelantan,2003,11523.1,Kelantan_2003
Kelantan,2004,11709.4,Kelantan_2004
Kelantan,2005,11889.6,Kelantan_2005
Kelantan,2006,12059.3,Kelantan_2006
Kelantan,2007,12232.3,Kelantan_2007
Kelantan,2008,12398.4,Kelantan_2008
Kelantan,2009,12559.7,Kelantan_2009
Kelantan,2010,12719.4,Kelantan_2010
Kelantan,2011,12950.7,Kelantan_2011
Kelantan,2012,13206.7,Kelantan_2012
Kelantan,2013,13468.6,Kelantan_2013
Kelantan,2014,13787.4,Kelantan_2014
Kelantan,2015,14084.699999999999,Kelantan_2015
Kelantan,2016,14373.5,Kelantan_2016
Kelantan,2017,14633.1,Kelantan_2017
Kelantan,2018,14883.8,Kelantan_2018
Kelantan,2019,15069.2,Kelantan_2019
Kelantan,2020,14340.5,Kelantan_2020
Kelantan,2021,14498.9,Kelantan_2021
Kelantan,2022,14644.699999999999,Kelantan_2022
Kelantan,2023,14877.9,Kelantan_2023
Kelantan,2024,15108.2,Kelantan_2024
Kuala Lumpur,1980,7862.9,Kuala Lumpur_1980
Kuala Lumpur,1981,8048.8,Kuala Lumpur_1981
Kuala Lumpur,1982,8228.1,Kuala Lumpur_1982
Kuala Lumpur,1983,8406.0,Kuala Lumpur_1983
Kuala Lumpur,1984,8577.2,Kuala Lumpur_1984
Kuala Lumpur,1985,8766.1,Kuala Lumpur_1985
Kuala Lumpur,1986,8963.8,Kuala Lumpur_1986
