state,Year,population
Johor,1970,5302.2
Johor,1971,5421.6
Johor,1972,5541.0
Johor,1973,5657.9
Johor,1974,5777.5
Johor,1975,5908.4
Johor,1976,6033.8
Johor,1977,6167.5
Johor,1978,6293.7
Johor,1979,6425.4
Johor,1980,13168.9
Johor,1981,13514.8
Johor,1982,13877.7
Johor,1983,14241.7
Johor,1984,14607.1
Johor,1985,15004.1
Johor,1986,15411.8
Johor,1987,15823.2
Johor,1988,16248.6
Johor,1989,16683.1
Johor,1990,17116.3
Johor,1991,17504.8
Johor,1992,17993.3
Johor,1993,18506.7
Johor,1994,19024.9
Johor,1995,19530.6
Johor,1996,20030.8
Johor,1997,20540.1
Johor,1998,21052.3
Johor,1999,21595.2
Johor,2000,22100.0
Johor,2001,22639.4
Johor,2002,23148.2
Johor,2003,23632.2
Johor,2004,24116.5
Johor,2005,24594.8
Johor,2006,25074.6
Johor,2007,25547.3
Johor,2008,26019.2
Johor,2009,26475.2
Johor,2010,26903.8
Johor,2011,27284.2
Johor,2012,27603.1
Johor,2013,27796.3
Johor,2014,28478.2
Johor,2015,28882.4
Johor,2016,29213.4
Johor,2017,29578.1
Johor,2018,29993.9
Johor,2019,30090.8
Johor,2020,32076.9
Johor,2021,32160.0
Johor,2022,32225.6
Johor,2023,32858.5
Johor,2024,33490.4
Kedah,1970,3958.1
Kedah,1971,4016.0
Kedah,1972,4068.9
Kedah,1973,4116.3
Kedah,1974,4164.099999999999
Kedah,1975,4219.9
Kedah,1976,4261.7
Kedah,1977,4319.4
Kedah,1978,4363.7
Kedah,1979,4413.8
Kedah,1980,8959.3
Kedah,1981,9122.0
Kedah,1982,9294.8
Kedah,1983,9471.1
Kedah,1984,9649.3
Kedah,1985,9846.7
Kedah,1986,10049.7
Kedah,1987,10248.0
Kedah,1988,10442.9
Kedah,1989,10630.3
Kedah,1990,10818.9
Kedah,1991,10971.2
Kedah,1992,11216.9
Kedah,1993,11473.1
Kedah,1994,11733.0
Kedah,1995,12002.6
Kedah,1996,12265.6
